series_index,group_tag,query_tag,label_tag,sample_count
343,2,755,97,2017
344,2,885,97,2015
345,2,927,97,2017
346,2,1047,97,2015
347,2,310,97,2017
348,2,216,97,2015
349,2,1097,97,2016
350,2,862,97,2016
351,2,1125,97,2016
352,2,819,97,2016
353,2,113,97,2017
354,2,303,97,2015
355,2,834,97,2017
356,2,559,97,2015
357,2,749,97,2016
358,2,167,97,2016
359,2,1071,97,2017
360,2,519,97,2015
361,2,1048,97,2016
362,2,384,97,2017
363,2,690,97,2015
364,2,899,97,2016
365,2,406,97,2016
366,2,971,97,2016
367,2,762,97,2016
368,2,775,97,2016
369,2,983,97,2016
370,2,292,97,2016
371,2,330,97,2016
372,2,33,97,2016
373,2,17,97,2016
374,2,923,97,2016
375,2,230,97,2016
376,2,756,97,2016
377,2,411,97,2016
378,2,10,97,2016
379,2,593,97,2016
380,2,546,97,2016
381,2,959,97,2016
382,2,782,97,2016
383,2,388,97,2017
384,2,1100,97,2015
385,2,530,97,2016
386,2,1011,97,2016
387,2,378,97,2017
388,2,672,97,2015
389,2,792,97,2017
390,2,1008,97,2015
391,2,452,97,2016
392,2,2,97,2016
393,2,104,97,2016
394,2,345,97,2016
395,2,60,97,2016
396,2,540,97,2016
397,2,957,97,2016
398,2,1126,97,2016
399,2,738,97,2016
400,2,433,97,2016
401,2,851,97,2016
402,2,780,97,2016
403,2,284,97,2016
404,2,744,97,2016
405,2,995,97,2017
406,2,181,97,2015
407,2,777,97,2017
408,2,1088,97,2015
409,2,124,97,2016
410,2,233,97,2016
411,2,523,97,2016
412,2,615,97,2016
413,2,1009,97,2016
414,2,1053,97,2016
415,2,1054,97,2016
416,2,352,97,2016
417,2,115,97,2016
418,2,198,97,2016
419,2,215,97,2016
420,2,956,97,2016
421,2,706,97,2017
422,2,722,97,2015
423,2,425,97,2016
424,2,1022,97,2016
425,2,106,97,2016
426,2,177,97,2016
427,2,332,97,2016
428,2,1106,97,2016
429,2,596,97,2016
430,2,14,97,2016
431,2,504,97,2016
432,2,750,97,2016
433,2,287,97,2016
434,2,268,15,2007
435,2,268,24,2007
436,2,268,46,2007
437,2,268,47,2006
438,2,268,62,2007
439,2,268,63,2007
440,2,268,70,2007
441,2,268,92,2007
442,2,268,101,2007
443,2,924,15,2007
444,2,924,24,2007
445,2,924,46,2007
446,2,924,47,2006
447,2,924,62,2007
448,2,924,63,2007
449,2,924,70,2007
450,2,924,92,2007
451,2,924,101,2007
452,2,716,1,2005
453,2,716,6,2007
454,2,716,13,2007
455,2,716,14,2007
456,2,716,21,2007
457,2,716,32,2007
458,2,716,40,2007
459,2,716,44,2006
460,2,716,68,2007
461,2,716,109,2007
462,2,119,9,2006
463,2,119,10,2007
464,2,119,26,2007
465,2,119,29,2007
466,2,119,31,2006
467,2,119,33,2006
468,2,119,35,2007
469,2,119,36,2006
470,2,119,73,2007
471,2,119,77,2000
472,2,119,89,2006
473,2,119,94,2007
474,2,119,96,2006
475,2,119,106,2006
476,2,119,108,2005
477,2,119,113,2006
478,2,1090,9,2006
479,2,1090,10,2007
480,2,1090,26,2007
481,2,1090,29,2007
482,2,1090,31,2006
483,2,1090,33,2006
484,2,1090,35,2007
485,2,1090,36,2006
486,2,1090,73,2007
487,2,1090,77,2000
488,2,1090,89,2006
489,2,1090,94,2007
490,2,1090,96,2006
491,2,1090,106,2006
492,2,1090,108,2005
493,2,1090,113,2006
494,3,334,28,2017
495,3,334,48,2017
496,3,334,53,2017
497,3,334,58,2017
498,3,334,66,2017
499,3,334,90,2017
500,3,839,28,2017
501,3,839,48,2017
502,3,839,53,2017
503,3,839,58,2017
504,3,839,66,2017
505,3,839,90,2017
506,3,686,28,2017
507,3,686,48,2017
508,3,686,53,2017
509,3,686,58,2017
510,3,686,66,2017
511,3,686,90,2017
512,3,445,28,2017
513,3,445,48,2017
514,3,445,53,2017
515,3,445,58,2017
516,3,445,66,2017
517,3,445,90,2017
518,3,41,28,2017
519,3,41,48,2017
520,3,41,53,2017
521,3,41,58,2017
522,3,41,66,2017
523,3,41,90,2017
524,3,484,28,2017
525,3,484,48,2017
526,3,484,53,2017
527,3,484,58,2017
528,3,484,66,2017
529,3,484,90,2017
530,3,1046,28,2017
531,3,1046,48,2017
532,3,1046,53,2017
533,3,1046,58,2017
534,3,1046,66,2017
535,3,1046,90,2017
536,3,514,28,2017
537,3,514,48,2017
538,3,514,53,2017
539,3,514,58,2017
540,3,514,66,2017
541,3,514,90,2017
542,3,658,28,2017
543,3,658,48,2017
544,3,658,53,2017
545,3,658,58,2017
546,3,658,66,2017
547,3,658,90,2017
548,3,761,28,2017
549,3,761,48,2017
550,3,761,53,2017
551,3,761,58,2017
552,3,761,66,2017
553,3,761,90,2017
554,3,67,28,2017
555,3,67,48,2017
556,3,67,53,2017
557,3,67,58,2017
558,3,67,66,2017
559,3,67,90,2017
560,3,217,28,2017
561,3,217,48,2017
562,3,217,53,2017
563,3,217,58,2017
564,3,217,66,2017
565,3,217,90,2017
566,3,855,28,2017
567,3,855,48,2017
568,3,855,53,2017
569,3,855,58,2017
570,3,855,66,2017
571,3,855,90,2017
572,3,1049,28,2017
573,3,1049,48,2017
574,3,1049,53,2017
575,3,1049,58,2017
576,3,1049,66,2017
577,3,1049,90,2017
578,3,732,28,2017
579,3,732,48,2017
580,3,732,53,2017
581,3,732,58,2017
582,3,732,66,2017
583,3,732,90,2017
584,3,853,28,2017
585,3,853,48,2017
586,3,853,53,2017
587,3,853,58,2017
588,3,853,66,2017
589,3,853,90,2017
590,3,56,28,2017
591,3,56,48,2017
592,3,56,53,2017
593,3,56,58,2017
594,3,56,66,2017
595,3,56,90,2017
596,3,688,28,2017
597,3,688,48,2017
598,3,688,53,2017
599,3,688,58,2017
600,3,688,66,2017
601,3,688,90,2017
602,3,429,28,2017
603,3,429,48,2017
604,3,429,53,2017
605,3,429,58,2017
606,3,429,66,2017
607,3,429,90,2017
608,3,710,28,2017
609,3,710,48,2017
610,3,710,53,2017
611,3,710,58,2017
612,3,710,66,2017
613,3,710,90,2017
614,3,410,28,2017
615,3,410,48,2017
616,3,410,53,2017
617,3,410,58,2017
618,3,410,66,2017
619,3,410,90,2017
620,3,493,28,2017
621,3,493,48,2017
622,3,493,53,2017
623,3,493,58,2017
624,3,493,66,2017
625,3,493,90,2017
626,3,326,28,2017
627,3,326,48,2017
628,3,326,53,2017
629,3,326,58,2017
630,3,326,66,2017
631,3,326,90,2017
632,3,597,28,2017
633,3,597,48,2017
634,3,597,53,2017
635,3,597,58,2017
636,3,597,66,2017
637,3,597,90,2017
638,3,965,28,2017
639,3,965,48,2017
640,3,965,53,2017
641,3,965,58,2017
642,3,965,66,2017
643,3,965,90,2017
644,3,99,28,2017
645,3,99,48,2017
646,3,99,53,2017
647,3,99,58,2017
648,3,99,66,2017
649,3,99,90,2017
650,3,464,28,2017
651,3,464,48,2017
652,3,464,53,2017
653,3,464,58,2017
654,3,464,66,2017
655,3,464,90,2017
656,3,223,28,2017
657,3,223,48,2017
658,3,223,53,2017
659,3,223,58,2017
660,3,223,66,2017
661,3,223,90,2017
662,3,746,28,2017
663,3,746,48,2017
664,3,746,53,2017
665,3,746,58,2017
666,3,746,66,2017
667,3,746,90,2017
668,3,951,28,2017
669,3,951,48,2017
670,3,951,53,2017
671,3,951,58,2017
672,3,951,66,2017
673,3,951,90,2017
674,3,618,28,2017
675,3,618,48,2017
676,3,618,53,2017
677,3,618,58,2017
678,3,618,66,2017
679,3,618,90,2017
680,3,255,28,2017
681,3,255,48,2017
682,3,255,53,2017
683,3,255,58,2017
684,3,255,66,2017
685,3,255,90,2017
686,3,379,28,2017
687,3,379,48,2017
688,3,379,53,2017
689,3,379,58,2017
690,3,379,66,2017
691,3,379,90,2017
692,3,876,28,2017
693,3,876,48,2017
694,3,876,53,2017
695,3,876,58,2017
696,3,876,66,2017
697,3,876,90,2017
698,3,562,28,2017
699,3,562,48,2017
700,3,562,53,2017
701,3,562,58,2017
702,3,562,66,2017
703,3,562,90,2017
704,3,108,28,2017
705,3,108,48,2017
706,3,108,53,2017
707,3,108,58,2017
708,3,108,66,2017
709,3,108,90,2017
710,3,90,28,2017
711,3,90,48,2017
712,3,90,53,2017
713,3,90,58,2017
714,3,90,66,2017
715,3,90,90,2017
716,3,773,28,2017
717,3,773,48,2017
718,3,773,53,2017
719,3,773,58,2017
720,3,773,66,2017
721,3,773,90,2017
722,3,754,28,2017
723,3,754,48,2017
724,3,754,53,2017
725,3,754,58,2017
726,3,754,66,2017
727,3,754,90,2017
728,3,81,28,2017
729,3,81,48,2017
730,3,81,53,2017
731,3,81,58,2017
732,3,81,66,2017
733,3,81,90,2017
734,3,381,28,2017
735,3,381,48,2017
736,3,381,53,2017
737,3,381,58,2017
738,3,381,66,2017
739,3,381,90,2017
740,3,695,28,2017
741,3,695,48,2017
742,3,695,53,2017
743,3,695,58,2017
744,3,695,66,2017
745,3,695,90,2017
746,3,368,28,2017
747,3,368,48,2017
748,3,368,53,2017
749,3,368,58,2017
750,3,368,66,2017
751,3,368,90,2017
752,3,6,28,2017
753,3,6,48,2017
754,3,6,53,2017
755,3,6,58,2017
756,3,6,66,2017
757,3,6,90,2017
758,3,550,28,2017
759,3,550,48,2017
760,3,550,53,2017
761,3,550,58,2017
762,3,550,66,2017
763,3,550,90,2017
764,3,444,28,2017
765,3,444,48,2017
766,3,444,53,2017
767,3,444,58,2017
768,3,444,66,2017
769,3,444,90,2017
770,3,796,28,2017
771,3,796,48,2017
772,3,796,53,2017
773,3,796,58,2017
774,3,796,66,2017
775,3,796,90,2017
776,3,165,28,2017
777,3,165,48,2017
778,3,165,53,2017
779,3,165,58,2017
780,3,165,66,2017
781,3,165,90,2017
782,3,359,28,2017
783,3,359,48,2017
784,3,359,53,2017
785,3,359,58,2017
786,3,359,66,2017
787,3,359,90,2017
788,3,628,28,2017
789,3,628,48,2017
790,3,628,53,2017
791,3,628,58,2017
792,3,628,66,2017
793,3,628,90,2017
794,3,248,28,2017
795,3,248,48,2017
796,3,248,53,2017
797,3,248,58,2017
798,3,248,66,2017
799,3,248,90,2017
800,3,86,28,2017
801,3,86,48,2017
802,3,86,53,2017
803,3,86,58,2017
804,3,86,66,2017
805,3,86,90,2017
806,3,158,28,2017
807,3,158,48,2017
808,3,158,53,2017
809,3,158,58,2017
810,3,158,66,2017
811,3,158,90,2017
812,3,766,28,2017
813,3,766,48,2017
814,3,766,53,2017
815,3,766,58,2017
816,3,766,66,2017
817,3,766,90,2017
818,3,954,28,2017
819,3,954,48,2017
820,3,954,53,2017
821,3,954,58,2017
